channel,period,leads,conversions,spend,conversion_rate,cpl,cac
ads,Feb 2025,6,0,0.0,0.0,0.0,0.0
ads,Jan 2025,3,0,57807.0,0.0,19269.0,0.0
ads,Jan 2025,3,0,11244.0,0.0,3748.0,0.0
ads,Jan 2025,3,0,42909.0,0.0,14303.0,0.0
ads,Jan 2025,3,0,51700.0,0.0,17233.33,0.0
ads,Jan 2025,3,0,67101.0,0.0,22367.0,0.0
ads,Jan 2025,3,0,58935.0,0.0,19645.0,0.0
ads,Jan 2025,3,0,60100.0,0.0,20033.33,0.0
ads,Jan 2025,3,0,80708.0,0.0,26902.67,0.0
ads,Jan 2025,3,0,37309.0,0.0,12436.33,0.0
ads,Jan 2025,3,0,81141.0,0.0,27047.0,0.0
ads,Jan 2025,3,0,43227.0,0.0,14409.0,0.0
ads,Jan 2025,3,0,5053.0,0.0,1684.33,0.0
ads,Jan 2025,3,0,39874.0,0.0,13291.33,0.0
ads,Jan 2025,3,0,46236.0,0.0,15412.0,0.0
ads,Jan 2025,3,0,74185.0,0.0,24728.33,0.0
ads,Jan 2025,3,0,73457.0,0.0,24485.67,0.0
ads,Jan 2025,3,0,58600.0,0.0,19533.33,0.0
email,Feb 2025,13,1,0.0,7.69,0.0,0.0
email,Jan 2025,7,0,83883.0,0.0,11983.29,0.0
email,Jan 2025,7,0,36758.0,0.0,5251.14,0.0
email,Jan 2025,7,0,28982.0,0.0,4140.29,0.0
email,Jan 2025,7,0,8303.0,0.0,1186.14,0.0
email,Jan 2025,7,0,10344.0,0.0,1477.71,0.0
email,Jan 2025,7,0,23669.0,0.0,3381.29,0.0
email,Jan 2025,7,0,10254.0,0.0,1464.86,0.0
email,Jan 2025,7,0,86264.0,0.0,12323.43,0.0
email,Jan 2025,7,0,54248.0,0.0,7749.71,0.0
email,Jan 2025,7,0,50052.0,0.0,7150.29,0.0
email,Jan 2025,7,0,17040.0,0.0,2434.29,0.0
linkedin,Feb 2025,15,2,0.0,13.33,0.0,0.0
linkedin,Jan 2025,5,1,92800.0,20.0,18560.0,92800.0
linkedin,Jan 2025,5,1,82503.0,20.0,16500.6,82503.0
linkedin,Jan 2025,5,1,74844.0,20.0,14968.8,74844.0
linkedin,Jan 2025,5,1,17006.0,20.0,3401.2,17006.0
referral,Feb 2025,14,2,0.0,14.29,0.0,0.0
webinar,Feb 2025,16,1,0.0,6.25,0.0,0.0
webinar,Jan 2025,3,0,0.0,0.0,0.0,0.0
website,Feb 2025,14,4,0.0,28.57,0.0,0.0
website,Jan 2025,4,0,0.0,0.0,0.0,0.0
